STUDNUM,FNAME,LNAME,DOB,PROG,EMAIL,PHONE,UNITSCAP,ENROLLSTAT
TSS839205,Alex,Garcia,24/01/2001,BSMath,alex.garcia@theschool.edu.ph,09623617264,23,FINALIZED
TSS104783,Jordan,Reyes,27/02/2005,BSAphy,jordan.reyes@theschool.edu.ph,09302854067,18,FINALIZED
TSS927461,Taylor,Cruz,25/11/2002,BSCS,taylor.cruz@theschool.edu.ph,09519652004,20,FINALIZED
TSS316502,Casey,Bautista,03/03/2001,BSBio,casey.bautista@theschool.edu.ph,09962483745,23,FINALIZED
TSS705849,Morgan,DelosSantos,20/07/1999,BSChemEng,morgan.delossantos@theschool.edu.ph,09518912601,19,FINALIZED
TSS472190,Riley,Santiago,14/07/2003,BSChem,riley.santiago@theschool.edu.ph,09118635364,19,FINALIZED
TSS681453,Skyler,Torres,27/06/2004,BSChem,skyler.torres@theschool.edu.ph,09250448776,23,FINALIZED
TSS092834,Dakota,Flores,25/05/2000,BSMath,dakota.flores@theschool.edu.ph,09663438040,20,FINALIZED
TSS547102,Avery,Gomez,04/01/2005,BSStat,avery.gomez@theschool.edu.ph,09329362626,18,FINALIZED
TSS318670,Emerson,Ramos,12/03/2004,BSCS,emerson.ramos@theschool.edu.ph,09919013142,18,FINALIZED
TSS860491,Finley,Aquino,11/11/2002,BSMath,finley.aquino@theschool.edu.ph,09136378548,24,FINALIZED
TSS295740,Hayden,Morales,08/08/2002,BSStat,hayden.morales@theschool.edu.ph,09326724182,20,FINALIZED
TSS134829,Jamie,Navarro,10/02/2005,BSBio,jamie.navarro@theschool.edu.ph,09892633683,18,FINALIZED
TSS470832,Kendall,Ortiz,29/09/2004,BSStat,kendall.ortiz@theschool.edu.ph,09807696828,23,FINALIZED
TSS613907,Logan,Castro,06/12/2004,BSBio,logan.castro@theschool.edu.ph,09179867176,24,FINALIZED
TSS209486,Peyton,Domingo,21/01/2004,BSCS,peyton.domingo@theschool.edu.ph,09050954174,18,FINALIZED
TSS981374,Quinn,Fernandez,09/12/1999,BSChem,quinn.fernandez@theschool.edu.ph,09824097004,21,FINALIZED
TSS736120,Reese,Guerrero,15/01/2003,BSStat,reese.guerrero@theschool.edu.ph,09529847658,22,FINALIZED
TSS804395,Sawyer,Hernandez,30/09/1999,BSAphy,sawyer.hernandez@theschool.edu.ph,09128772525,20,FINALIZED
TSS358204,Tatum,Jimenez,02/09/2000,BSChem,tatum.jimenez@theschool.edu.ph,09310176861,20,FINALIZED
TSS673918,Blake,Lopez,17/10/2000,BSMath,blake.lopez@theschool.edu.ph,09550383728,20,FINALIZED
TSS920481,Cameron,Martinez,21/01/2004,BSChemEng,cameron.martinez@theschool.edu.ph,09006227891,24,FINALIZED
TSS508731,Drew,Nolasco,04/07/1999,BSCS,drew.nolasco@theschool.edu.ph,09079849617,18,ACTIVE
TSS389472,Elliot,Ocampo,17/10/2000,BSAphy,elliot.ocampo@theschool.edu.ph,09063511699,19,ACTIVE
TSS761380,Harper,Padilla,22/05/2000,BSBio,harper.padilla@theschool.edu.ph,09522435256,18,ACTIVE
TSS194608,Jesse,Quezada,19/12/2000,BSMath,jesse.quezada@theschool.edu.ph,09200443176,20,ACTIVE
TSS843017,Kai,Rafael,25/05/2003,BSCS,kai.rafael@theschool.edu.ph,09064647080,19,ACTIVE
TSS507296,Lennon,Salazar,23/12/1998,BSStat,lennon.salazar@theschool.edu.ph,09069253171,18,ACTIVE
TSS601384,Micah,Trinidad,15/09/1999,BSBio,micah.trinidad@theschool.edu.ph,09566198191,23,ACTIVE
TSS238764,Nico,Uy,24/10/2004,BSMath,nico.uy@theschool.edu.ph,09854656765,18,ACTIVE
TSS792503,Oakley,Valdez,03/10/2000,BSCS,oakley.valdez@theschool.edu.ph,09023776710,22,ACTIVE
TSS348159,Parker,Webb,04/09/2003,BSChem,parker.webb@theschool.edu.ph,09673569557,18,ACTIVE
TSS109842,Rowan,Ximenes,06/09/2004,BSChemEng,rowan.ximenes@theschool.edu.ph,09001016437,21,ACTIVE
TSS845613,Shiloh,Young,25/10/2004,BSBio,shiloh.young@theschool.edu.ph,09023816016,18,ACTIVE
TSS720849,Teagan,Zamora,31/08/2001,BSCS,teagan.zamora@theschool.edu.ph,09913313556,20,ACTIVE
TSS983264,Urban,Alcantara,26/01/2000,BSStat,urban.alcantara@theschool.edu.ph,09135022882,19,ACTIVE
TSS204195,Vesper,Buenaventura,25/11/2004,BSChem,vesper.buenaventura@theschool.edu.ph,09057076532,18,PENDING
TSS691430,Winter,Cabrera,27/06/2002,BSMath,winter.cabrera@theschool.edu.ph,09676743790,21,PENDING
TSS317920,Yuri,DeGuzman,15/06/2000,BSStat,yuri.deguzman@theschool.edu.ph,09020576076,23,PENDING
TSS456019,Zion,Escobar,09/06/1998,BSChemEng,zion.escobar@theschool.edu.ph,09310150374,22,PENDING
